10 80 4
-2 8 -6 -10
-1 -7 6 10
-8 -2 -4 -3
-8 -1 -10 -4
6 7 -9 -5
-3 2 -7 -5
-1 3 5 -10
7 -8 -6 -2
4 8 6 10
-10 -1 -8 -4
-2 -7 6 -4
-10 1 -3 5
3 -9 -8 -1
-3 -2 5 -9
-2 -1 8 6
-9 -5 4 6
-6 2 -5 -7
-1 7 -5 9
-8 -7 2 6
1 8 2 10
-1 -8 6 7
9 -10 7 4
8 -7 3 -6
-7 2 -3 -6
7 -10 4 6
1 -2 10 7
-10 -2 -3 -8
8 -9 -2 -6
-2 -6 10 3
-4 -3 -6 1
2 -8 10 -3
3 -9 2 4
1 -4 -9 -3
-7 -9 -5 10
7 2 5 -9
7 -4 -1 10
-3 -10 -6 -2
9 8 10 -3
3 -8 2 7
-5 10 -6 -9
2 9 -10 -5
1 5 3 7
-3 10 8 5
-9 -3 -5 10
-3 -9 -6 2
6 -4 -1 10
4 5 8 2
3 -7 -9 -10
-10 -1 -8 -2
-9 -2 -3 -4
1 -7 2 -9
-2 9 3 7
2 -7 9 8
7 5 -1 -6
-1 -4 -10 -7
4 8 -6 -5
6 9 2 -5
-3 8 10 -7
-5 -7 -1 -3
-8 -3 1 -9
1 -5 -7 9
-4 1 -5 -6
-5 6 2 -7
10 -9 -4 -2
-10 7 -9 -5
6 -2 -3 -10
2 4 -7 9
-9 6 -1 4
-3 1 -9 8
-1 10 7 8
-7 3 -2 -4
7 8 5 -10
1 -7 10 -3
-5 10 -3 -2
-8 7 -1 6
9 -2 1 -6
-6 -2 4 -9
-8 10 -3 6
-2 6 8 -10
1 6 3 7
